Train Caffe Model Done,,,,
/home/ubuntu/Image_True_False/Level0/10257_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1334_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10698_left.png ,Level1 ,53.8100%,Level0 ,46.1900%
/home/ubuntu/Image_True_False/Level0/1849_right.png ,Level0 ,98.9200%,Level1 ,1.0800%
/home/ubuntu/Image_True_False/Level0/1377_right.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/10270_right.png ,Level0 ,98.7900%,Level1 ,1.2100%
/home/ubuntu/Image_True_False/Level0/1769_left.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/10545_left.png ,Level1 ,74.4800%,Level0 ,25.5200%
/home/ubuntu/Image_True_False/Level0/1073_left.png ,Level1 ,85.9400%,Level0 ,14.0600%
/home/ubuntu/Image_True_False/Level0/10221_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10732_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1206_right.png ,Level0 ,84.8800%,Level1 ,15.1200%
/home/ubuntu/Image_True_False/Level0/10479_left.png ,Level1 ,53.4400%,Level0 ,46.5600%
/home/ubuntu/Image_True_False/Level0/10095_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1766_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10550_left.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/1513_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1170_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1180_left.png ,Level1 ,53.8100%,Level0 ,46.1900%
/home/ubuntu/Image_True_False/Level0/1411_right.png ,Level0 ,98.9200%,Level1 ,1.0800%
/home/ubuntu/Image_True_False/Level0/1836_right.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/1478_left.png ,Level0 ,98.7900%,Level1 ,1.2100%
/home/ubuntu/Image_True_False/Level0/104_right.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1696_left.png ,Level1 ,74.4800%,Level0 ,25.5200%
/home/ubuntu/Image_True_False/Level0/10503_right.png ,Level1 ,85.9400%,Level0 ,14.0600%
/home/ubuntu/Image_True_False/Level0/10069_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1624_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1316_left.png ,Level0 ,84.8800%,Level1 ,15.1200%
/home/ubuntu/Image_True_False/Level0/1886_right.png ,Level1 ,53.4400%,Level0 ,46.5600%
/home/ubuntu/Image_True_False/Level0/1579_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10542_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10646_right.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/1718_right.png ,Level1 ,99.9400%,Level0 ,0.0600%
/home/ubuntu/Image_True_False/Level0/10252_right.png ,Level0 ,99.9800%,Level1 ,0.0200%
/home/ubuntu/Image_True_False/Level0/10210_right.png ,Level0 ,99.9800%,Level1 ,0.0200%
/home/ubuntu/Image_True_False/Level0/1395_left.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1775_left.png ,Level0 ,99.9200%,Level1 ,0.0800%
/home/ubuntu/Image_True_False/Level0/1202_left.png ,Level1 ,99.00%,Level0 ,1.00%
/home/ubuntu/Image_True_False/Level0/10464_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1269_left.png ,Level1 ,99.8100%,Level0 ,0.1900%
/home/ubuntu/Image_True_False/Level0/1240_right.png ,Level0 ,99.7400%,Level1 ,0.2600%
/home/ubuntu/Image_True_False/Level0/10031_left.png ,Level0 ,62.2100%,Level1 ,37.7900%
/home/ubuntu/Image_True_False/Level0/1267_right.png ,Level0 ,99.9600%,Level1 ,0.0400%
/home/ubuntu/Image_True_False/Level0/10636_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10263_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10166_right.png ,Level1 ,80.9600%,Level0 ,19.0400%
/home/ubuntu/Image_True_False/Level0/10475_left.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1801_right.png ,Level1 ,72.6100%,Level0 ,27.3900%
/home/ubuntu/Image_True_False/Level0/1212_right.png ,Level0 ,67.2200%,Level1 ,32.7800%
/home/ubuntu/Image_True_False/Level0/10266_right.png ,Level1 ,99.0900%,Level0 ,0.9100%
/home/ubuntu/Image_True_False/Level0/10003_right.png ,Level0 ,98.6800%,Level1 ,1.3200%
/home/ubuntu/Image_True_False/Level0/1452_left.png ,Level0 ,99.9600%,Level1 ,0.0400%
/home/ubuntu/Image_True_False/Level0/10078_right.png ,Level0 ,73.5400%,Level1 ,26.4600%
/home/ubuntu/Image_True_False/Level0/1872_right.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/10100_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1361_right.png ,Level0 ,93.9800%,Level1 ,6.0200%
/home/ubuntu/Image_True_False/Level0/10407_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10566_left.png ,Level0 ,97.0600%,Level1 ,2.9400%
/home/ubuntu/Image_True_False/Level0/1424_right.png ,Level0 ,78.1500%,Level1 ,21.8500%
/home/ubuntu/Image_True_False/Level0/10058_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10552_right.png ,Level1 ,98.8600%,Level0 ,1.1400%
/home/ubuntu/Image_True_False/Level0/10099_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1710_right.png ,Level0 ,99.9300%,Level1 ,0.0700%
/home/ubuntu/Image_True_False/Level0/1859_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1147_left.png ,Level0 ,99.8500%,Level1 ,0.1500%
/home/ubuntu/Image_True_False/Level0/1634_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1702_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1658_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10594_left.png ,Level1 ,52.7300%,Level0 ,47.2700%
/home/ubuntu/Image_True_False/Level0/10674_right.png ,Level0 ,99.7900%,Level1 ,0.2100%
/home/ubuntu/Image_True_False/Level0/1146_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1349_right.png ,Level1 ,68.3600%,Level0 ,31.6400%
/home/ubuntu/Image_True_False/Level0/10675_right.png ,Level0 ,55.7800%,Level1 ,44.2200%
/home/ubuntu/Image_True_False/Level0/10623_left.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/10515_right.png ,Level0 ,99.500%,Level1 ,0.500%
/home/ubuntu/Image_True_False/Level0/10094_left.png ,Level0 ,88.6900%,Level1 ,11.3100%
/home/ubuntu/Image_True_False/Level0/10368_left.png ,Level1 ,54.8800%,Level0 ,45.1200%
/home/ubuntu/Image_True_False/Level0/1294_left.png ,Level0 ,98.1600%,Level1 ,1.8400%
/home/ubuntu/Image_True_False/Level0/10558_left.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1596_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/161_left.png ,Level1 ,89.6900%,Level0 ,10.3100%
/home/ubuntu/Image_True_False/Level0/10388_right.png ,Level0 ,99.9200%,Level1 ,0.0800%
/home/ubuntu/Image_True_False/Level0/1306_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1502_right.png ,Level0 ,53.0500%,Level1 ,46.9500%
/home/ubuntu/Image_True_False/Level0/1330_right.png ,Level1 ,51.6700%,Level0 ,48.3300%
/home/ubuntu/Image_True_False/Level0/1282_left.png ,Level1 ,98.4400%,Level0 ,1.5600%
/home/ubuntu/Image_True_False/Level0/10276_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10374_right.png ,Level0 ,99.8700%,Level1 ,0.1300%
/home/ubuntu/Image_True_False/Level0/1188_right.png ,Level0 ,88.6900%,Level1 ,11.3100%
/home/ubuntu/Image_True_False/Level0/162_right.png ,Level0 ,99.9800%,Level1 ,0.0200%
/home/ubuntu/Image_True_False/Level0/10207_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1551_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1051_left.png ,Level0 ,93.1500%,Level1 ,6.8500%
/home/ubuntu/Image_True_False/Level0/10568_left.png ,Level0 ,99.9300%,Level1 ,0.0700%
/home/ubuntu/Image_True_False/Level0/108_right.png ,Level0 ,99.9100%,Level1 ,0.0900%
/home/ubuntu/Image_True_False/Level0/1348_right.png ,Level1 ,99.00%,Level0 ,1.00%
/home/ubuntu/Image_True_False/Level0/1516_left.png ,Level1 ,92.6100%,Level0 ,7.3900%
/home/ubuntu/Image_True_False/Level0/10419_left.png ,Level0 ,99.5400%,Level1 ,0.4600%
/home/ubuntu/Image_True_False/Level0/1333_right.png ,Level1 ,97.8400%,Level0 ,2.1600%
/home/ubuntu/Image_True_False/Level0/10492_right.png ,Level0 ,53.8200%,Level1 ,46.1800%
/home/ubuntu/Image_True_False/Level0/10634_left.png ,Level1 ,91.0100%,Level0 ,8.9900%
/home/ubuntu/Image_True_False/Level0/1673_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10069_left.png ,Level0 ,98.2200%,Level1 ,1.7800%
/home/ubuntu/Image_True_False/Level0/10073_right.png ,Level1 ,94.3100%,Level0 ,5.6900%
/home/ubuntu/Image_True_False/Level0/1759_right.png ,Level1 ,83.9400%,Level0 ,16.0600%
/home/ubuntu/Image_True_False/Level0/1180_right.png ,Level0 ,88.9500%,Level1 ,11.0500%
/home/ubuntu/Image_True_False/Level0/10644_right.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/10650_right.png ,Level1 ,99.9700%,Level0 ,0.0300%
/home/ubuntu/Image_True_False/Level0/1589_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1011_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1595_left.png ,Level1 ,97.9200%,Level0 ,2.0800%
/home/ubuntu/Image_True_False/Level0/1305_left.png ,Level1 ,77.7100%,Level0 ,22.2900%
/home/ubuntu/Image_True_False/Level0/10720_right.png ,Level0 ,99.1400%,Level1 ,0.8600%
/home/ubuntu/Image_True_False/Level0/1574_left.png ,Level0 ,95.8900%,Level1 ,4.1100%
/home/ubuntu/Image_True_False/Level0/1589_left.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/119_left.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/10212_right.png ,Level1 ,99.1400%,Level0 ,0.8600%
/home/ubuntu/Image_True_False/Level0/1123_right.png ,Level1 ,99.8900%,Level0 ,0.1100%
/home/ubuntu/Image_True_False/Level0/1742_left.png ,Level1 ,99.9700%,Level0 ,0.0300%
/home/ubuntu/Image_True_False/Level0/10310_left.png ,Level0 ,99.9300%,Level1 ,0.0700%
/home/ubuntu/Image_True_False/Level0/10053_right.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1047_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/122_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10416_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/155_left.png ,Level1 ,59.5600%,Level0 ,40.4400%
/home/ubuntu/Image_True_False/Level0/10239_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/117_left.png ,Level0 ,57.900%,Level1 ,42.100%
/home/ubuntu/Image_True_False/Level0/10295_left.png ,Level1 ,99.8900%,Level0 ,0.1100%
/home/ubuntu/Image_True_False/Level0/10464_left.png ,Level1 ,94.7200%,Level0 ,5.2800%
/home/ubuntu/Image_True_False/Level0/1493_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1075_right.png ,Level0 ,99.9900%,Level1 ,0.0100%
/home/ubuntu/Image_True_False/Level0/10317_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10605_right.png ,Level1 ,98.9600%,Level0 ,1.0400%
/home/ubuntu/Image_True_False/Level0/1810_right.png ,Level0 ,99.7100%,Level1 ,0.2900%
/home/ubuntu/Image_True_False/Level0/10173_left.png ,Level0 ,91.8100%,Level1 ,8.1900%
/home/ubuntu/Image_True_False/Level0/1509_left.png ,Level1 ,80.0800%,Level0 ,19.9200%
/home/ubuntu/Image_True_False/Level0/1724_left.png ,Level0 ,91.500%,Level1 ,8.500%
/home/ubuntu/Image_True_False/Level0/1609_right.png ,Level0 ,97.8700%,Level1 ,2.1300%
/home/ubuntu/Image_True_False/Level0/1425_left.png ,Level0 ,99.8800%,Level1 ,0.1200%
/home/ubuntu/Image_True_False/Level0/10626_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1211_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/169_right.png ,Level1 ,97.700%,Level0 ,2.300%
/home/ubuntu/Image_True_False/Level0/1212_left.png ,Level0 ,99.9800%,Level1 ,0.0200%
/home/ubuntu/Image_True_False/Level0/1144_left.png ,Level0 ,94.9200%,Level1 ,5.0800%
/home/ubuntu/Image_True_False/Level0/1569_left.png ,Level0 ,95.6300%,Level1 ,4.3700%
/home/ubuntu/Image_True_False/Level0/1306_right.png ,Level0 ,99.9700%,Level1 ,0.0300%
/home/ubuntu/Image_True_False/Level0/1651_right.png ,Level0 ,94.0600%,Level1 ,5.9400%
/home/ubuntu/Image_True_False/Level0/10605_left.png ,Level1 ,99.8400%,Level0 ,0.1600%
/home/ubuntu/Image_True_False/Level0/1353_right.png ,Level1 ,99.9400%,Level0 ,0.0600%
/home/ubuntu/Image_True_False/Level0/1429_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1431_left.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/10674_left.png ,Level0 ,99.7400%,Level1 ,0.2600%
/home/ubuntu/Image_True_False/Level0/10566_right.png ,Level0 ,98.5200%,Level1 ,1.4800%
/home/ubuntu/Image_True_False/Level0/10643_left.png ,Level1 ,99.9800%,Level0 ,0.0200%
/home/ubuntu/Image_True_False/Level0/10624_left.png ,Level1 ,82.4100%,Level0 ,17.5900%
/home/ubuntu/Image_True_False/Level0/10400_left.png ,Level1 ,86.9500%,Level0 ,13.0500%
/home/ubuntu/Image_True_False/Level0/10710_left.png ,Level0 ,94.5700%,Level1 ,5.4300%
/home/ubuntu/Image_True_False/Level0/1226_right.png ,Level1 ,100%,Level0 ,0%
/home/ubuntu/Image_True_False/Level0/1881_right.png ,Level1 ,99.9900%,Level0 ,0.0100%
/home/ubuntu/Image_True_False/Level0/1182_right.png ,Level0 ,96.1400%,Level1 ,3.8600%
/home/ubuntu/Image_True_False/Level0/164_left.png ,Level0 ,91.8300%,Level1 ,8.1700%
/home/ubuntu/Image_True_False/Level0/10013_left.png ,Level1 ,50.9100%,Level0 ,49.0900%
/home/ubuntu/Image_True_False/Level0/1881_left.png ,Level1 ,72.7900%,Level0 ,27.2100%
/home/ubuntu/Image_True_False/Level0/1255_right.png ,Level1 ,99.3100%,Level0 ,0.6900%
/home/ubuntu/Image_True_False/Level0/1096_right.png ,Level1 ,97.3800%,Level0 ,2.6200%
/home/ubuntu/Image_True_False/Level0/1307_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1070_left.png ,Level1 ,99.9800%,Level0 ,0.0200%
/home/ubuntu/Image_True_False/Level0/1409_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1116_left.png ,Level0 ,63.6900%,Level1 ,36.3100%
/home/ubuntu/Image_True_False/Level0/1302_left.png ,Level1 ,97.900%,Level0 ,2.100%
/home/ubuntu/Image_True_False/Level0/1347_right.png ,Level1 ,98.3800%,Level0 ,1.6200%
/home/ubuntu/Image_True_False/Level0/1131_right.png ,Level1 ,58.9100%,Level0 ,41.0900%
/home/ubuntu/Image_True_False/Level0/1649_right.png ,Level0 ,99.9400%,Level1 ,0.0600%
/home/ubuntu/Image_True_False/Level0/1528_left.png ,Level0 ,98.8600%,Level1 ,1.1400%
/home/ubuntu/Image_True_False/Level0/10155_left.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1316_right.png ,Level0 ,99.8700%,Level1 ,0.1300%
/home/ubuntu/Image_True_False/Level0/10292_left.png ,Level0 ,99.9700%,Level1 ,0.0300%
/home/ubuntu/Image_True_False/Level0/10481_left.png ,Level0 ,99.9800%,Level1 ,0.0200%
/home/ubuntu/Image_True_False/Level0/10182_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/10328_right.png ,Level0 ,94.5500%,Level1 ,5.4500%
/home/ubuntu/Image_True_False/Level0/10553_right.png ,Level0 ,99.8900%,Level1 ,0.1100%
/home/ubuntu/Image_True_False/Level0/1802_right.png ,Level1 ,90.4400%,Level0 ,9.5600%
/home/ubuntu/Image_True_False/Level0/10295_right.png ,Level1 ,99.9800%,Level0 ,0.0200%
/home/ubuntu/Image_True_False/Level0/10523_right.png ,Level0 ,100%,Level1 ,0%
/home/ubuntu/Image_True_False/Level0/1480_left.png ,Level0 ,98.5400%,Level1 ,1.4600%
